CIDADE,NUM VEREADORES,% BRANCA,% PRETA,% PARDA,% INDIGENA,% AMARELA,% NAO INFORM
Santa Cruz da Baixa Verde,9,11,0,89,0,0,0
Cortês,9,56,11,33,0,0,0
Iguaracy,9,11,0,89,0,0,0
Ferreiros,9,44,0,56,0,0,0
Belém de Maria,9,11,0,89,0,0,0
Cedro,9,22,11,67,0,0,0
Santa Terezinha,9,22,11,67,0,0,0
Jaqueira,9,44,11,44,0,0,0
Paranatama,9,11,0,89,0,0,0
Jucati,9,22,0,78,0,0,0
Poção,9,22,0,78,0,0,0
Angelim,9,33,33,33,0,0,0
Moreilândia,9,11,0,89,0,0,0
Salgadinho,9,44,0,56,0,0,0
Maraial,9,44,0,56,0,0,0
Calçado,9,22,0,78,0,0,0
Terra Nova,9,56,0,44,0,0,0
Sairé,9,56,0,33,0,11,0
Verdejante,9,22,11,67,0,0,0
Cumaru,11,36,0,64,0,0,0
Brejão,9,22,0,78,0,0,0
Camutanga,9,44,0,56,0,0,0
Tuparetama,9,44,11,44,0,0,0
Ibirajuba,9,78,0,22,0,0,0
Granito,9,11,0,44,0,0,44
Vertente do Lério,9,56,0,44,0,0,0
Palmeirina,9,22,0,78,0,0,0
Brejinho,9,,,,,,
Terezinha,9,44,0,56,0,0,0
Quixaba,9,56,11,33,0,0,0
Solidão,9,78,0,22,0,0,0
Calumbi,9,0,11,89,0,0,0
Itacuruba,9,44,11,11,33,0,0
Ingazeira,9,44,0,56,0,0,0
PERNAMBUCO,2151,40,6,52,1,0,1
